Metric,Type,MeanRelError/DisagreeRate,Threshold,Status,CountCompared
BlurScore,numeric,0.027897465823450807,0.1,OK,10
MotionBlurScore,numeric,0.8002175378195417,0.1,FAIL,10
GlareArea,numeric,0.26666666666666666,0.1,FAIL,10
Exposure,numeric,1.6460724036802405e-05,0.1,OK,10
Contrast,numeric,0.6000153895269758,0.1,FAIL,10
Noise,numeric,0.18259273100881565,0.1,FAIL,10
ColorDominance,numeric,7.564295014831356e-08,0.1,OK,10
BandingScore,numeric,0.29951169965151514,0.1,FAIL,10
BrisqueScore,numeric,,0.1,OK,0
ElapsedMs,numeric,0.2059590714622877,0.1,FAIL,10
IsBlurry,bool,0.0,0.1,OK,10
HasGlare,bool,0.1,0.1,OK,10
HasNoise,bool,0.2,0.1,FAIL,10
HasLowContrast,bool,0.0,0.1,OK,10
HasColorDominance,bool,0.0,0.1,OK,10
IsWellExposed,bool,0.0,0.1,OK,10
